City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
170,Ndjole,GA,2021-12-22 15:1414,-0.1783,10.7649,89.92,58,95,4.92,overcast clouds
171,Sinnamary,GF,2021-12-22 15:1414,5.3833,-52.95,76.24,96,100,12.12,moderate rain
172,Arraial Do Cabo,BR,2021-12-22 15:0541,-22.9661,-42.0278,84.06,61,0,13.8,clear sky
173,Mahebourg,MU,2021-12-22 15:1415,-20.4081,57.7,78.26,94,75,6.91,broken clouds
174,Dharchula,IN,2021-12-22 15:1415,29.85,80.5333,46.71,43,1,7.43,clear sky
175,Mokhotlong,LS,2021-12-22 15:1415,-29.2894,29.0675,65.05,53,50,9.8,light rain
176,Fortuna,US,2021-12-22 15:0543,40.5982,-124.1573,52.92,90,90,5.01,overcast clouds
177,Carauari,BR,2021-12-22 15:1416,-4.8828,-66.8958,83.25,81,99,1.81,overcast clouds
178,Hithadhoo,MV,2021-12-22 15:1416,-0.6,73.0833,81.68,73,100,5.26,overcast clouds
179,Benjamin Constant,BR,2021-12-22 15:1416,-4.3831,-70.0311,82.53,89,75,5.75,broken clouds
180,Saldanha,ZA,2021-12-22 15:1416,-33.0117,17.9442,67.28,85,69,13.78,broken clouds
181,Coihaique,CL,2021-12-22 15:1153,-45.5752,-72.0662,75.81,46,0,6.91,clear sky
182,Bogomila,MK,2021-12-22 15:1417,41.5931,21.4717,30.38,61,1,2.01,clear sky
183,Ukiah,US,2021-12-22 15:1331,39.1502,-123.2078,49.64,93,90,5.75,overcast clouds
184,Margate,GB,2021-12-22 15:1417,51.3813,1.3862,40.3,74,100,1.99,overcast clouds
185,Kloulklubed,PW,2021-12-22 15:1417,7.0419,134.2556,79.3,66,100,11.48,overcast clouds
186,Pangnirtung,CA,2021-12-22 15:1518,66.1451,-65.7125,21.2,68,75,18.41,light snow
187,Kamaishi,JP,2021-12-22 15:1518,39.2667,141.8833,32.5,58,23,10.2,few clouds
188,Shelburne,CA,2021-12-22 15:1518,44.0787,-80.2041,25.9,93,81,19.91,light snow
189,Aksha,RU,2021-12-22 15:1518,50.2814,113.2867,-7.46,94,95,2.37,overcast clouds
190,Semnan,IR,2021-12-22 15:1519,35.5729,53.3971,44.67,34,0,1.54,clear sky
191,Canton,CN,2021-12-22 15:1519,23.1167,113.25,66.99,69,90,3.83,overcast clouds
192,Lazaro Cardenas,MX,2021-12-22 15:1519,17.9583,-102.2,77.63,74,4,3.56,clear sky
193,Ribeira Grande,PT,2021-12-22 15:1520,38.5167,-28.7,61.2,67,40,28.77,scattered clouds
194,Gao,ML,2021-12-22 15:1520,16.6362,1.637,82.4,10,85,9.73,overcast clouds
195,Kanniyakumari,IN,2021-12-22 15:1520,8.0833,77.5667,78.62,76,60,12.88,broken clouds
196,Tual,ID,2021-12-22 15:1520,-5.6667,132.75,80.65,83,100,21.65,overcast clouds
197,Muros,ES,2021-12-22 15:1521,42.7762,-9.0603,61.99,77,85,18.79,overcast clouds
198,Anadyr,RU,2021-12-22 15:1521,64.75,177.4833,10.9,72,75,20.0,light snow
199,Geraldton,AU,2021-12-22 15:0547,-28.7667,114.6,70.21,78,1,16.11,clear sky
200,Jamuria,IN,2021-12-22 15:1521,23.7,87.0833,60.4,72,0,5.75,mist
201,Kavaratti,IN,2021-12-22 15:0545,10.5669,72.642,80.17,60,14,4.68,few clouds
202,Lethem,GY,2021-12-22 15:1522,3.3803,-59.7968,92.93,46,95,10.89,overcast clouds
203,Nemuro,JP,2021-12-22 15:1522,43.3236,145.575,35.33,74,83,13.94,light rain
204,Puerto Madryn,AR,2021-12-22 15:1522,-42.7692,-65.0385,83.77,21,12,11.12,few clouds
205,Deputatskiy,RU,2021-12-22 15:1522,69.3,139.9,-25.22,97,99,5.23,overcast clouds
206,Lavrentiya,RU,2021-12-22 15:1523,65.5833,-171.0,-0.27,85,100,13.65,overcast clouds
207,Mehamn,NO,2021-12-22 15:1523,71.0357,27.8492,24.71,85,100,11.43,light snow
208,Veydelevka,RU,2021-12-22 15:1524,50.1521,38.4492,8.74,87,98,9.51,overcast clouds
209,Kaitangata,NZ,2021-12-22 15:1524,-46.2817,169.8464,52.93,68,6,6.33,clear sky
210,Dingle,PH,2021-12-22 15:1525,10.9995,122.6711,75.09,88,100,6.06,overcast clouds
211,Portland,US,2021-12-22 15:1457,45.5234,-122.6762,49.21,92,75,3.0,broken clouds
212,Sotouboua,TG,2021-12-22 15:1525,8.5667,0.9833,95.58,16,24,7.0,few clouds
213,Katsuura,JP,2021-12-22 15:1525,35.1333,140.3,45.19,51,79,12.41,broken clouds
214,Lagoa,PT,2021-12-22 15:0544,39.05,-27.9833,58.12,68,92,33.33,overcast clouds
215,Mount Isa,AU,2021-12-22 15:1526,-20.7333,139.5,76.77,78,100,4.61,light rain
216,Panzhihua,CN,2021-12-22 15:1526,26.5851,101.7128,50.38,67,14,1.34,few clouds
217,Binabalian,PH,2021-12-22 15:1526,16.4202,119.9279,80.01,77,100,10.38,overcast clouds
218,Morro Bay,US,2021-12-22 15:1138,35.3658,-120.8499,55.78,77,100,1.99,overcast clouds
219,Ghanzi,BW,2021-12-22 15:1526,-21.5667,21.7833,86.09,32,76,3.15,broken clouds
220,Kruisfontein,ZA,2021-12-22 15:0547,-34.0033,24.7314,68.88,72,100,12.75,overcast clouds
221,Whitehorse,CA,2021-12-22 15:1512,60.7161,-135.0538,-6.2,76,20,2.3,few clouds
222,Pathein,MM,2021-12-22 15:1527,16.7833,94.7333,67.6,71,0,6.58,clear sky
223,Puerto Escondido,MX,2021-12-22 15:1527,15.85,-97.0667,79.63,78,1,4.61,clear sky
224,Meulaboh,ID,2021-12-22 15:1528,4.1363,96.1285,78.21,84,69,2.62,broken clouds
225,Vyshneve,UA,2021-12-22 15:1528,50.3891,30.3705,15.76,73,75,13.42,light snow
226,Pokhara,NP,2021-12-22 15:1528,28.2333,83.9833,51.57,36,12,5.91,few clouds
227,Dhidhdhoo,MV,2021-12-22 15:1301,6.8833,73.1,81.25,71,49,9.33,scattered clouds
228,Polo,PH,2021-12-22 15:1528,9.4822,123.1822,79.29,80,100,3.8,overcast clouds
229,Bhadrachalam,IN,2021-12-22 15:1529,17.6667,80.8833,63.86,43,0,1.05,clear sky
230,Arak,IR,2021-12-22 15:1529,34.0917,49.6892,38.01,44,0,5.48,clear sky
231,Slave Lake,CA,2021-12-22 15:1511,55.2834,-114.769,13.98,92,90,6.91,light snow
232,Narsaq,GL,2021-12-22 15:1529,60.9167,-46.05,46.62,57,100,16.87,overcast clouds
233,Tigil,RU,2021-12-22 15:1630,57.8,158.6667,13.82,85,100,20.04,overcast clouds
234,Naze,JP,2021-12-22 15:1630,28.3667,129.4833,63.18,77,99,14.63,overcast clouds
235,Mtwara,TZ,2021-12-22 15:1630,-10.2667,40.1833,82.94,68,17,8.9,few clouds
236,Agucadoura,PT,2021-12-22 15:1630,41.4318,-8.7804,66.29,72,25,12.46,scattered clouds
237,Menongue,AO,2021-12-22 15:1631,-14.6585,17.691,77.56,57,100,6.2,overcast clouds
238,Jatai,BR,2021-12-22 15:1631,-17.8814,-51.7144,86.85,51,40,6.24,scattered clouds
239,Centralia,US,2021-12-22 15:1212,46.7162,-122.9543,47.68,86,90,14.97,overcast clouds
240,Yar-Sale,RU,2021-12-22 15:1631,66.8333,70.8333,12.07,94,100,14.9,overcast clouds
241,Yenagoa,NG,2021-12-22 15:1632,4.9247,6.2642,99.07,17,62,3.87,broken clouds
242,Viedma,AR,2021-12-22 15:1632,-40.8135,-62.9967,81.23,17,0,5.57,clear sky
243,Maragogi,BR,2021-12-22 15:1632,-9.0122,-35.2225,85.37,64,100,13.38,overcast clouds
244,Caucaia,BR,2021-12-22 15:1632,-3.7361,-38.6531,89.55,72,75,19.57,broken clouds
245,Oriximina,BR,2021-12-22 15:1633,-1.7656,-55.8661,91.87,47,76,3.38,broken clouds
246,Khuzhir,RU,2021-12-22 15:1633,53.1939,107.3397,1.78,84,23,10.58,few clouds
247,Rio Gallegos,AR,2021-12-22 15:1452,-51.6226,-69.2181,68.05,34,0,18.41,clear sky
248,Sohag,EG,2021-12-22 15:1633,26.557,31.6948,60.71,42,11,11.05,few clouds
249,Hofn,IS,2021-12-22 15:1634,64.2539,-15.2082,28.42,69,0,8.05,clear sky
250,Zhaotong,CN,2021-12-22 15:1634,27.3167,103.7167,40.12,92,21,4.09,few clouds
251,Xifeng,CN,2021-12-22 15:1634,42.7372,124.7222,6.69,72,6,4.83,clear sky
252,Miranda,CO,2021-12-22 15:1634,3.2499,-76.2281,73.53,99,100,3.65,overcast clouds
253,Sharan,RU,2021-12-22 15:1635,54.8167,54.0,-8.48,100,65,4.25,broken clouds
254,Codrington,AU,2021-12-22 15:1635,-38.2667,141.9667,49.78,84,53,5.68,broken clouds
255,Kainantu,PG,2021-12-22 15:1635,-6.2887,145.8655,62.08,98,99,0.54,overcast clouds
256,Poyarkovo,RU,2021-12-22 15:1635,49.6,128.6833,-36.65,100,73,3.91,broken clouds
257,Gberia Fotombu,SL,2021-12-22 15:1636,9.8833,-11.1667,92.05,13,86,9.42,overcast clouds
258,Esperance,AU,2021-12-22 15:1636,-33.8667,121.9,61.77,87,40,10.45,scattered clouds
259,Chara,RU,2021-12-22 15:1636,56.9064,118.2631,-31.27,85,99,1.28,overcast clouds
260,Cortez,US,2021-12-22 15:1637,37.3489,-108.5859,33.42,79,1,0.0,clear sky
261,Atkarsk,RU,2021-12-22 15:1333,51.8718,45.0078,4.84,96,100,7.67,overcast clouds
262,Jalu,LY,2021-12-22 15:1637,29.0331,21.5482,61.05,34,75,3.44,broken clouds
263,Flin Flon,CA,2021-12-22 15:1637,54.7682,-101.865,-0.56,85,90,9.22,light snow
264,Gazojak,TM,2021-12-22 15:1637,41.1875,61.4036,46.85,71,0,6.78,clear sky
