City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
167,Mataram,ID,83.21,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
170,Ndjole,GA,89.92,overcast clouds,-0.1783,10.7649,Motel Kédyann
171,Sinnamary,GF,76.24,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
172,Arraial Do Cabo,BR,84.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
173,Mahebourg,MU,78.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
177,Carauari,BR,83.25,overcast clouds,-4.8828,-66.8958,Hotel Fellip
178,Hithadhoo,MV,81.68,overcast clouds,-0.6,73.0833,Scoop Guest House
179,Benjamin Constant,BR,82.53,broken clouds,-4.3831,-70.0311,CASA AVALIADA
181,Coihaique,CL,75.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
185,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
192,Lazaro Cardenas,MX,77.63,clear sky,17.9583,-102.2,quinta antigua
195,Kanniyakumari,IN,78.62,broken clouds,8.0833,77.5667,Sparsa
196,Tual,ID,80.65,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
201,Kavaratti,IN,80.17,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
204,Puerto Madryn,AR,83.77,few clouds,-42.7692,-65.0385,Hotel Tolosa
210,Dingle,PH,75.09,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
215,Mount Isa,AU,76.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
217,Binabalian,PH,80.01,overcast clouds,16.4202,119.9279,Sundowners Vacation Villas
219,Ghanzi,BW,86.09,broken clouds,-21.5667,21.7833,Ghanzi Farmhouse
223,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
224,Meulaboh,ID,78.21,broken clouds,4.1363,96.1285,Kost Pria
227,Dhidhdhoo,MV,81.25,scattered clouds,6.8833,73.1,Dhidhoo beach
228,Polo,PH,79.29,overcast clouds,9.4822,123.1822,Amlan Bluewater Beach Resort & Hotel
235,Mtwara,TZ,82.94,few clouds,-10.2667,40.1833,TIL Hotels Mtwara
237,Menongue,AO,77.56,overcast clouds,-14.6585,17.691,Ritz Lauca
238,Jatai,BR,86.85,scattered clouds,-17.8814,-51.7144,La Vitre Hotel
242,Viedma,AR,81.23,clear sky,-40.8135,-62.9967,Hotel Cristal
243,Maragogi,BR,85.37,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
244,Caucaia,BR,89.55,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
275,Faanui,PF,81.19,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
285,Kavieng,PG,82.09,light rain,-2.5744,150.7967,Nusa Island Retreat
289,Kankon,IN,78.6,clear sky,15.0167,74.0167,Palolem Beach Resort
292,Auki,SB,77.76,overcast clouds,-8.7676,160.7034,Auki Motel
299,Bima,ID,78.98,overcast clouds,-8.4667,118.7167,Lambitu Hotel
303,Grand Gaube,MU,78.39,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
