City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Hilo,US,2021-12-17 18:2223,19.7297,-155.09,80.28,54,1,5.75
71,Bubaque,GW,2021-12-17 18:2255,11.2833,-15.8333,83.52,57,85,9.73
72,Cidreira,BR,2021-12-17 18:2255,-30.1811,-50.2056,73.71,79,40,15.5
73,At-Bashi,KG,2021-12-17 18:2255,41.1702,75.8106,4.75,57,2,2.84
74,Butaritari,KI,2021-12-17 18:2255,3.0707,172.7902,81.86,78,50,14.56
75,Aloleng,PH,2021-12-17 18:2256,16.1307,119.7824,81.88,71,93,7.31
76,Albany,US,2021-12-17 18:2129,42.6001,-73.9662,54.36,36,1,4.0
77,Wagar,SD,2021-12-17 18:2256,16.1525,36.2032,83.97,42,2,9.75
78,Pasni,PK,2021-12-17 18:2256,25.2631,63.471,70.05,47,32,3.2
79,Yellowknife,CA,2021-12-17 18:2256,62.456,-114.3525,-27.71,67,1,4.61
80,Ponta Do Sol,PT,2021-12-17 18:2257,32.6667,-17.1,66.7,76,63,7.18
81,Castro,BR,2021-12-17 18:2257,-24.7911,-50.0119,81.39,56,58,3.74
82,Bandarbeyla,SO,2021-12-17 18:2257,9.4942,50.8122,77.54,71,81,16.89
83,Norman Wells,CA,2021-12-17 18:2258,65.282,-126.8329,-25.56,68,75,0.0
84,Hamilton,US,2021-12-17 18:1936,39.1834,-84.5333,47.25,56,40,1.99
85,Meulaboh,ID,2021-12-17 18:2258,4.1363,96.1285,77.27,90,99,4.83
86,Georgetown,MY,2021-12-17 18:2258,5.4112,100.3354,79.95,91,40,5.75
87,Kaitangata,NZ,2021-12-17 18:2258,-46.2817,169.8464,53.92,67,50,13.87
88,Ankang,CN,2021-12-17 18:2259,32.68,109.0172,41.7,49,87,2.26
89,Tupik,RU,2021-12-17 18:2259,54.4253,119.9327,-18.89,96,40,1.99
90,Faranah,GN,2021-12-17 18:2259,10.0404,-10.7434,85.51,22,71,5.14
91,Vaini,TO,2021-12-17 18:2300,-21.2,-175.2,78.96,94,40,8.05
92,Samfya,ZM,2021-12-17 18:2300,-11.3649,29.5565,66.79,92,98,6.38
93,Kirakira,SB,2021-12-17 18:2400,-10.4544,161.9205,78.15,87,100,5.84
94,Tura,IN,2021-12-17 18:2401,25.5198,90.2201,58.21,74,15,3.87
95,Goderich,CA,2021-12-17 18:2401,43.7501,-81.7165,35.91,74,42,12.66
96,Nieuw Amsterdam,SR,2021-12-17 18:2401,5.8833,-55.0833,88.14,76,40,8.05
97,Qaanaaq,GL,2021-12-17 18:2401,77.484,-69.3632,-7.29,94,100,2.48
98,Sioux Lookout,CA,2021-12-17 18:2402,50.1001,-91.917,7.18,78,90,4.61
99,Kahului,US,2021-12-17 18:2402,20.8947,-156.47,76.84,88,20,3.44
100,Ramgarh,IN,2021-12-17 18:2402,23.6333,85.5167,64.45,63,11,4.65
101,Khatanga,RU,2021-12-17 18:2402,71.9667,102.5,-35.82,100,99,3.96
102,Qianan,CN,2021-12-17 18:2403,44.9932,124.0581,-6.74,88,7,7.18
103,Yarkovo,RU,2021-12-17 18:2403,57.4028,67.0786,11.77,99,98,2.89
104,Avera,US,2021-12-17 18:2404,33.194,-82.5271,68.05,72,63,4.99
105,Matamoros,MX,2021-12-17 18:2405,25.5333,-103.25,71.71,24,90,10.36
106,Cayenne,GF,2021-12-17 18:2405,4.9333,-52.3333,87.84,80,0,5.01
107,Moindou,NC,2021-12-17 18:2405,-21.6924,165.677,67.95,77,3,6.08
108,Lagos,NG,2021-12-17 18:2406,6.5833,3.75,84.52,70,58,5.48
109,College,US,2021-12-17 18:2406,64.8569,-147.8028,6.75,82,90,0.0
110,Saskylakh,RU,2021-12-17 18:2406,71.9167,114.0833,-37.08,100,98,5.91
111,Solnechnyy,RU,2021-12-17 18:2406,50.7214,136.6319,-17.41,93,82,2.17
112,Busselton,AU,2021-12-17 18:2407,-33.65,115.3333,58.08,70,100,15.08
113,Tecoanapa,MX,2021-12-17 18:2407,16.5167,-98.75,83.86,62,3,7.23
114,Asau,RO,2021-12-17 18:2407,46.4333,26.4,36.52,93,96,3.6
115,Teguldet,RU,2021-12-17 18:2408,57.3064,88.1667,22.95,94,100,11.07
116,La Ronge,CA,2021-12-17 18:2408,55.1001,-105.2842,-5.55,77,75,3.44
117,Vanimo,PG,2021-12-17 18:2408,-2.6741,141.3028,75.45,92,100,6.69
118,Qaqortoq,GL,2021-12-17 18:2408,60.7167,-46.0333,18.1,78,10,6.53
119,Lompoc,US,2021-12-17 18:2409,34.6391,-120.4579,62.42,84,1,5.01
120,Basco,PH,2021-12-17 18:2409,20.4487,121.9702,73.47,77,100,41.67
